row_type	claim_id	title	plan_reference	plan_lines	backlog_priority	plan_critical	replacement_status	source_ids	source_statuses	source_urls	saved_artifacts	provenance_notes	gaps_or_caveats	review_decision
claim	F-1	Agent Skills packaging and fallback	private_plan_anchor	42, 112		yes	adequate_primary_urls	openai-codex-skills; openai-tools-skills-api; openai-skills-api-cookbook	primary_url_confirmed	https://developers.openai.com/codex/skills; https://developers.openai.com/api/docs/guides/tools-skills; https://developers.openai.com/cookbook/examples/skills_in_api		provenance/protocol-runtime.md	OpenAI Agent Skills docs/API/repo replace stale Anthropic-only note with current packaging surfaces.	represented_no_none
claim	F-2	AG-UI browser event vocabulary	private_plan_anchor	43, 96		yes	adequate_primary_urls	ag-ui-events; ag-ui-interrupts; ag-ui-core-events-reference; ag-ui-core-types-reference	primary_url_confirmed	https://docs.ag-ui.com/concepts/events; https://docs.ag-ui.com/concepts/interrupts; https://docs.ag-ui.com/sdk/js/core/events; https://docs.ag-ui.com/sdk/js/core/types		provenance/protocol-runtime.md	Project-selected vocabulary; strict wire compatibility remains separately approved.	represented_no_none
claim	F-3	A2A optional remote interop	private_plan_anchor	44, 94		yes	adequate_primary_urls	a2a-latest-spec; a2a-v1-announcement; a2a-agent-discovery; a2a-definitions	primary_url_confirmed	https://a2a-protocol.org/latest/specification/; https://a2a-protocol.org/latest/announcing-1.0/; https://a2a-protocol.org/latest/topics/agent-discovery/; https://a2a-protocol.org/latest/definitions/		provenance/protocol-runtime.md	Ledger uses current A2A latest docs and definitions; version wording must be refreshed again before speckit-plan.	represented_no_none
claim	F-4	Comfy Cloud execution API	private_plan_anchor	45, 65-71		yes	adequate_primary_urls_with_experimental_caveat	comfy-cloud-overview; comfy-cloud-api-reference	primary_url_confirmed	https://docs.comfy.org/development/cloud/overview; https://docs.comfy.org/development/cloud/api-reference		provenance/image-runtime-optional.md	Comfy Cloud docs are current but experimental/drift-prone, so future adapter must contract-test and fail closed.	represented_no_none
claim	F-5	Civitai/AIR open model ecosystem	private_plan_anchor	46, 104-108		yes	adequate_primary_urls	comfy-cloud-get-started; civitai-developer; civitai-air-guide	primary_url_confirmed	https://docs.comfy.org/get_started/cloud; https://developer.civitai.com; https://developer.civitai.com/site/guide/air		provenance/image-runtime-optional.md	Civitai AIR and Comfy Cloud get-started sources cover image-pack ecosystem context.	represented_no_none
claim	F-6	PPTAgent/PresentBench/UniPPTBench presentation pack evidence	private_plan_anchor	47, 116, 897		yes	adequate_with_watch_item	pptagent-paper; pptagent-repo; presentbench-homepage; presentbench-repo; slidesgen-bench-paper; slidesgen-bench-repo; unipptbench-paper; python-pptx-docs; python-pptx-repo; pptxgenjs-docs; python-docx-docs; openxml-sdk-docs; presentbench-dataset; presentbench-paper; slides-align-dataset; python-pptx-presentation-api; python-pptx-slides-api; python-docx-table-api; pptxgenjs-charts; pptxgenjs-masters; openxml-presentation-structure; openxml-working-with-slides	primary_dataset_confirmed; primary_fallback_confirmed; primary_url_confirmed; watch_item_primary_paper_only	https://arxiv.org/abs/2501.03936; https://github.com/icip-cas/PPTAgent; https://presentbench.github.io/; https://github.com/PresentBench/PresentBench; https://arxiv.org/abs/2601.09487; https://github.com/YunqiaoYang/SlidesGen-Bench; https://arxiv.org/abs/2605.17356; https://python-pptx.readthedocs.io/en/latest/user/quickstart.html; https://github.com/scanny/python-pptx; https://gitbrent.github.io/PptxGenJS/; https://python-docx.readthedocs.io/en/latest/user/quickstart.html; https://learn.microsoft.com/en-us/office/open-xml/open-xml-sdk; https://huggingface.co/datasets/lynnzuo/PresentBench; https://arxiv.org/abs/2603.07244; https://huggingface.co/datasets/Yqy6/Slides-Align; https://python-pptx.readthedocs.io/en/latest/api/presentation.html; https://python-pptx.readthedocs.io/en/latest/api/slides.html; https://python-docx.readthedocs.io/en/latest/api/table.html; https://gitbrent.github.io/PptxGenJS/docs/api-charts/; https://gitbrent.github.io/PptxGenJS/docs/masters/; https://learn.microsoft.com/en-us/office/open-xml/presentation/structure-of-a-presentationml-document; https://learn.microsoft.com/en-us/office/open-xml/presentation/working-with-presentation-slides		provenance/presentation-document-pack.md	PPTAgent, PresentBench, SlidesGen-Bench, datasets, and tooling docs are covered; UniPPTBench remains paper-only watch item.	represented_no_none
claim	F-7	OWASP agentic security	private_plan_anchor	48, 25-27		yes	adequate_primary_url_with_manual_download_provenance	owasp-agentic-top10-2026; owasp-aiuc-crosswalk; owasp-aiuc-crosswalk-download	manual_provenance_required; primary_url_confirmed	https://genai.owasp.org/resource/owasp-top-10-for-agentic-applications-for-2026/; https://genai.owasp.org/resource/aiuc-1-crosswalks-owasp-top-10-for-agentic-applications/; https://genai.owasp.org/download/54627/?tmstv=1779726713		provenance/owasp-agentic-agentdojo.md	Primary OWASP resource page is confirmed; direct download endpoint returned No Access HTML in this environment, so no saved PDF is claimed.	represented_no_none
claim	F-8	AgentDojo and AgentDyn prompt-injection fixtures	private_plan_anchor	49, 110-115		yes	adequate_primary_urls	agentdojo-repo; agentdojo-paper; agentdyn-paper; agentdyn-repo	primary_url_confirmed	https://github.com/ethz-spylab/agentdojo; https://arxiv.org/abs/2406.13352; https://arxiv.org/abs/2602.03117; https://github.com/SaFo-Lab/AgentDyn		provenance/owasp-agentic-agentdojo.md	AgentDyn row uses arXiv + repo found in ultraresearch; do not use unverified WASP/WASP-like names.	represented_no_none
claim	F-9	MCP optional tool/data interop and security	private_plan_anchor	50, 85-92		yes	adequate_primary_urls_with_advisory_split	mcp-released-spec; mcp-security-best-practices; mcp-authorization-draft; owasp-secure-mcp-server-guide; owasp-third-party-mcp-cheatsheet; mcp-released-authorization; mcp-released-auth-security	draft_or_advisory; primary_url_confirmed	https://modelcontextprotocol.io/specification/2025-11-25; https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices; https://modelcontextprotocol.io/specification/draft/basic/authorization; https://genai.owasp.org/resource/a-practical-guide-for-secure-mcp-server-development/; https://genai.owasp.org/resource/cheatsheet-a-practical-guide-for-securely-using-third-party-mcp-servers-1-0/; https://modelcontextprotocol.io/specification/2025-11-25/basic/authorization; https://modelcontextprotocol.io/specification/2025-11-25/basic/authorization/security-considerations		provenance/owasp-agentic-agentdojo.md; provenance/protocol-runtime.md	Released 2025-11-25 MCP docs are primary; draft authorization stays advisory.	represented_no_none
claim	F-10	OpenTelemetry GenAI telemetry vocabulary	private_plan_anchor	51, 109		yes	adequate_development_status_only	otel-genai-repo; otel-genai-readme	development_status_primary	https://github.com/open-telemetry/semantic-conventions-genai; https://github.com/open-telemetry/semantic-conventions-genai/blob/main/docs/gen-ai/README.md		provenance/protocol-runtime.md	Development repo is current but not load-bearing; SQLite/exported manifests remain authoritative.	represented_no_none
claim	F-11	SQLite WAL durable substrate	private_plan_anchor	52, 73-81, 889		yes	adequate_primary_url	sqlite-wal	primary_url_confirmed	https://sqlite.org/wal.html		provenance/protocol-runtime.md	Same-host WAL constraint is explicit and must remain in future spec.	represented_no_none
claim	F-12	Optional OpenAI image provider profile	private_plan_anchor	53, 101-103		yes	adequate_optional_provider_context	openai-image-guide; openai-models; openai-gpt-image-2	optional_context	https://developers.openai.com/api/docs/guides/image-generation; https://developers.openai.com/api/docs/models; https://developers.openai.com/api/docs/models/gpt-image-2		provenance/image-runtime-optional.md; provenance/optional-downgrades.md	Provider profile support is optional; not the image-pack core and not a substitute for presentation pack evidence.	represented_no_none
claim	F-13	CycloneDX ML-BOM and SPDX AI/dataset standards	private_plan_anchor	54, 117-124		yes	adequate_saved_and_primary_urls	cyclonedx-mlbom; cyclonedx-aimlbom-guide; spdx-ai-profile; spdx-3-0-1-pdf; cyclonedx-old-ai-bom-404; cyclonedx-bom-1-7-schema; ecma-424-first-edition-pdf; spdx-3-model-readme; spdx-3-model-changelog	historical_pdf; primary_model_repo_confirmed; primary_schema_confirmed; primary_url_confirmed; profile_drift_context; retired_404_replaced; saved_pdf	https://cyclonedx.org/capabilities/mlbom/; https://cyclonedx.org/guides/OWASP_CycloneDX-Authoritative-Guide-to-AI-ML-BOM-en.pdf; https://spdx.dev/learn/areas-of-interest/ai/; https://spdx.dev/wp-content/uploads/sites/31/2024/12/SPDX-3.0.1-1.pdf; https://cyclonedx.org/capabilities/ai-bom/; https://raw.githubusercontent.com/CycloneDX/specification/master/schema/bom-1.7.schema.json; https://ecma-international.org/wp-content/uploads/ECMA-424_1st_edition_june_2024.pdf; https://raw.githubusercontent.com/spdx/spdx-3-model/develop/README.md; https://raw.githubusercontent.com/spdx/spdx-3-model/develop/CHANGELOG.md	sources/cyclonedx-authoritative-guide-ai-ml-bom.pdf; sources/spdx-3.0.1-specification.pdf	provenance/cyclonedx-spdx.md	Includes saved CycloneDX guide PDF, saved SPDX 3.0.1 PDF, schema row, and retired 404 replacement note.	represented_no_none
